Judul,Harga,Penulis,Genre,Stock,Berat,Cetakan,Bulan,Tahun,Lebar,Panjang,Tebal,Format,ISBN,Sinopsis,Tentang_penulis,Foto Produk1,Foto Produk2
The Magic Life,62500.0,Ace Starry, Novel,20,516," I, Maret 2013",Maret,2013,13.0,21.0,416,, 978-979-3064-56-7,"Apakah Anda tengah mencari alasan untuk menemukan (kembali) impian Anda? Apakah Anda sedang mencari keberanian untuk merealisasikan impian Anda? Apakah Anda merasa hidup Anda kurang maksimal? Inilah novel yang tepat untuk Anda. Novel filsafat ini sangat memotivasi. Jika Anda yakin ada alasan untuk hidup, Anda harus membaca novel ini.
The Magic Life adalah misteri metafisik yang menarik dan kisah cinta yang penuh renungan filosofis. Di satu sisi, novel ini bercerita ihwal seseorang yang bercita-cita menjadi pesulap namun ia menjadi akuntan—seorang pria yang merindukan kekasih namun tak punya keberanian untuk menyatakan cinta. Di sisi lain, inilah kisah ihwal seorang pemuda yang bertemu pesulap di pasar pinggir jalan dan belajar banyak tentang hidup, cinta, dan ilusi kematian.
Novel ini sarat wawasan mencerahkan tentang makna kebahagiaan, kekuatan dari peristiwa kebetulan, dan keajaiban dari berbagai kejadian yang saling terkait. Novel ini menasihati semua orang, muda maupun tua, agar tidak menyerah pada mimpi. Jika Anda merasa terlena di zona nyaman (comfort zone), Anda harus membaca novel ini. Hidupkan impian Anda! Ikutilah kata hati Anda! Dan, novel ini akan mengubah hidup Anda!
""Buku yang menyenangkan, provokatif,  dan inspiratif!""
—Peter Studebaker
“Ace Starry bukan hanya pesulap, tapi juga penulis. Ia memiliki cerita biasa, namun cara ia menuturkannya sungguh ajaib. Dia mengajarkan rahasia... untuk kehidupan siapa pun, terutama yang ingin membuat hidupnya lebih bermakna dan magis.”
—Jon Racherbaumer
“Novel yang indah, menyatukan batas antara fantasi liar dan kehidupan nyata. Bersukacitalah dalam cerita ini. Berisi pesan paling penting yang harus Anda dengar.”
—Uri Geller, penulis dan paranormal ternama
“Novel terbaik yang pernah saya baca. … terkadang membuat saya tertawa atau menangis, tetapi lebih sering membuat saya berhenti membaca dan berpikir. Buku ini mengubah hidup saya.”
—Pam Yamaguchi, Zine World
“Cerita yang indah dan menarik ihwal bagaimana sihir dan penyihir yang sangat misterius mengubah hidup seseorang dalam cara yang ia tidak bayangkan. Tak hanya itu, ini juga sebuah pelajaran hidup. Dalam buku ini, Anda tak akan belajar satu pun trik sulap murahan, tetapi Anda akan belajar banyak tentang KEHIDUPAN! ... Sangat dianjurkan untuk dibaca.”
—Bryan Dean, MAGICTALK, kelompok diskusi resmi untuk para Magician
“Cerita yang menginspirasi dan menghibur. The Magic Life sarat dengan kata-kata bijak dan inspirasi, mendorong Anda keluar dari ‘cangkang’ untuk membuka potensi dengan melakukan apa yang Anda cintai. Selain motivator berbakat, Starry adalah pencerita dan penulis novel yang hebat. Kemampuan kombinasi ini membuat Anda akan fokus saat membaca buku ini. Buku ini membangkitkan impian Anda yang terkubur, mempercepat denyut nadi, dan membuat Anda memulai perjalanan hidup yang baru.”
—Jon Little, TheBookshelf.org
“Luar biasa! Buku ini membuat saya berubah dan mengatur ulang segala sesuatu dalam hidup saya.”
—Doug Holland
“Buku yang kuat, mendalam, dan mengubah diri saya! Sangat mencerahkan dan menyegarkan.”
—Keith Varnum, Radio KFNX 1100, Phoenix-Arizona
“The Magic Life adalah salah satu buku paling orisinil dan menakjubkan. Finalis Hemingway First Novel Competition ini menerima banyak pujian. Saya terus membaca halaman demi halaman sampai selesai.”
—Barbara Bianco, About.com
“Saya terkejut begitu cepat saya menyukai novel filsafat ini. Sebagai narasi perjalanan spiritual, novel ini memiliki semuanya: narasi yang mengalir, karakter menarik, asmara, dan penemuan diri. The Magic Life memberi saya perspektif baru ihwal ‘sihir’ dalam kehidupan dan cara yang menyenangkan untuk menemukannya.”
—Constance Avilla, Magical Blend",,https://tokoalvabet.com/293-large_default/the-magic-life.jpg,
The Origin of Tyranny,99000.0,Percy Neville Ure, Sejarah,49,520," I, Februari 2021",Februari,2021,15.0,23.0,420,, 978-623-220-102-6,"“Para tiran awal mungkin semua kaya dan pebisnis, tetapi kekayaan dan aktivitas bisnis mereka bukan dasar atau fitur pembeda dari pemerintahan mereka.”
—Percy Neville Ure

Abad ke-7 dan ke-6 Sebelum Masehi (SM) merupakan salah satu periode paling penting dalam sejarah dunia. Pencapaian terbesar bangsa Yunani bermula dari dua abad tersebut, baik di bidang kesusastraan, seni, filsafat, ilmu pengetahuan, dan perdagangan. Pada zaman inilah bangsa Yunani membuat revolusi paling penting dalam sejarah perdagangan dengan penemuan koin logam seperti yang masih beredar hingga kini di seluruh peradaban dunia. Sementara dari sisi politik, dua abad ini secara umum dikenal sebagai zaman para tiran. 
The Origin of Tyranny adalah buku yang menggambarkan dengan gamblang tentang sejarah para tiran awal. Penulis melacak awal mula tiran yang umumnya dibentuk melalui kekayaan, bukan melalui keberhasilan militer atau kekuasaan. Kekayaan memungkinkan calon tiran merekrut kalangan kelas bawah untuk merebut pemerintahan di kota, mempekerjakan tentara bayaran untuk mempertahankan otoritas, serta—di saat kekayaan terus bertahan—mereka mempertahankan dukungan dari kelas yang bergantung pada mereka. Sebaliknya, hilangnya atau habisnya kekayaan sering kali menyebabkan kejatuhan para tiran.
Dengan menggali bukti-bukti arkeologis, dari bahan industri sampai uang koin kuno, penulis mengeksplorasi kehidupan para tiran awal di Yunani dan daerah-daerah yang terhubung, seperti Lydia, Mesir, hingga Spanyol dan Italia. Dengan piawai, ia merekonstruksi bagaimana kekayaan yang dikumpulkan tidak hanya memakmurkan pemiliknya, namun juga menjadi alat untuk memperoleh dan mempertahankan kekuasaan tiranik.","Percy Neville Ure M.A. (10 Mei 1879 - 3 April 1950) adalah profesor bidang kajian klasik pertama di University of Reading's (1911–1946) dan pendiri Ure Museum of Greek Archaeology di Reading. Karya-karyanya antara lain: The Greek Renaissance (1921), The Origin of Tyranny (yang diterbitkan oleh Penerbit Alvabet dengan judul yang sama), Sixth & Fifth Century Pottery from Excavations Made at Rhitsona (1922), Justinian and His Age (1951), dan A.D. Corpus Vasorum Antiquorum: Great Britain-University of Reading (1954).",https://tokoalvabet.com/641-large_default/the-origin-of-tyranny.jpg,https://tokoalvabet.com/640-large_default/the-origin-of-tyranny.jpg
The Seat of the Soul,49000.0,Gary Zukav, Spiritual/Motivasi,20,372," I, April 2017",April,2017,13.0,20.0,272,, 978-623-220-102-6,"Dengan kepiawaian luar biasa dalam menyederhanakan abstraksi ilmiah dan fisika baru, Gary Zukav membawa kita menuju tahap baru evolusi umat manusia. Menurut penulis karya mashur The Dancing Wu Li Masters ini, kita sedang berevolusi: dari mahluk pemburu kekuatan berdasar persepsi indrawi (kekuatan eksternal) menuju spesies pencari kekuatan otentik (berdasar nilai-nilai ruh).
Dengan mata ilmuwan dan hati filsuf, Zukav menunjukkan bahwa mengisi kehidupan dengan ketakziman, belas-kasih, dan kepercayaan membuat kegiatan-kegiatan kita penuh makna dan tujuan. Nilai-nilai ruh mengubah perkawinan menjadi kemitraan spiritual, psikologi menjadi psikologi spiritual, dan mengubah kehidupan kita sehari-hari.
The Seat of the Soul menggambarkan perjalanan menakjubkan menuju ruh kita masing-masing.","Gary Zukav adalah penulis The Dancing Wu Li Masters: An Overview of The New Physics, pemenang The American Book Award untuk ilmu pengetahuan tahun 1979; dan The Seat of the Soul, buku terlaris versi New York Times, USA Today, Los Angeles Times, dan Publishers Weekly.

Bukunya telah terjual jutaan kopi dan diterbitkan dalam 31 bahasa. Ia adalah mantan anggota pasukan elit Baret Hijau yang pernah berperang di Vietnam. Karyanya yang lain: Soul Stories (2000), The Heart of the Soul: Emotional Awareness (2002), dan The Mind of the Soul: Responsible Choice (2003) yang ditulis bersama Linda Francis dan juga menjadi buku terlaris versi New York Times.


***
“Jika saya diminta merekomendasikan hanya satu buku buat Anda, maka saya akan menyebut buku ini. Buku paling kuat yang pernah saya baca.” —Oprah Winfrey
“Sebuah karya yang wajib dibaca, merangsang pemikiran tentang cara mengubah persepsi kita secara mendasar jika kita ingin bertahan hidup.” —Library Journal
“Karena penuh kearifan dan ditulis dengan gaya sederhana tapi indah dan nyaris puitis, The Seat of the Soul merupakan buku yang layak dinikmati.” —Brian Weiss, penulis Many Lives Many Masters

“Betapa luar biasa—salah satu penafsir terbaik tentang sains mutakhir ternyata juga akrab dengan pengetahuan tentang ruh manusia. Pengetahuan ini melahirkan harapan besar bagi zaman kita” —Huston Smith, mantan guru besar filsafat MIT",https://tokoalvabet.com/60-large_default/the-seat-of-the-soul.jpg,
The Single Woman,45000.0,Mandy Hale, Motivasi,30,360," I, Desember 2013",Desember,2013,13.0,20.0,260,, 978-623-220-102-6,"uat, dan independen—wanita single dapat hidup luar biasa. Suami, dengan demikian, tak diperlukan!
Bagi kaum Hawa, menyandang status single dekat dengan stigma negatif. Tetapi Mandy Hale, penulis buku ini, membuktikan hal sebaliknya: bahwa single juga memiliki keistimewaan. Dengan kecerdasan dan kearifannya, dia menginspirasi sesama wanita single agar mensyukuri keadaan mereka dan menjalani sepenuh hati kehidupan yang Tuhan anugerahkan.
Mandy Hale—dikenal luas oleh pembaca blog dan penggemar twitter lewat akunnya, The Single WomanTM—berbagi cerita, saran, dan antusiasme untuk menjalani kehidupan sebagai wanita penuh daya, percaya diri, dan dekat dengan Tuhan, yang tidak sebatas menegaskan diri menjadi single—tapi juga menikmatinya!
Inilah catatan menakjubkan yang bakal menginspirasi Anda bagaimana meraih peruntungan, merajut persahabatan, melepaskan beban, dan menemukan tujuan terbesar dalam kehidupan. Melalui buku ini, Mandy Hale membantu Anda untuk berhenti mencemaskan penderitaan, dan menemukan kehidupan yang bahagia sebagai gantinya.
“Mulai saat ini, jika ada wanita meminta saya untuk membimbingnya menuju kehidupan yang lebih baik, saya akan berkata: ‘Anda sebaiknya membaca The Single Woman, semua ada di buku itu, bahkan berlebih!’”
—Dodinsky, penulis buku laris versi New York Times
 
“Mandy Hale adalah penulis yang fantastis. Dia menyuguhkan buku yang luar biasa menyenangkan dan mencerahkan. Saya pikir, setiap wanita lajang pasti senang dan beruntung membaca buku ini.”
—Pete Wilson, penulis buku-buku bestseller
“Cerita Mandy Hale benar-benar mengubah hidup saya. Saya merasa dia sedang berbicara langsung dengan—dan tentang—saya. Saya tertawa, tersenyum, dan menangis membaca buku ini. Apakah Anda lajang, tengah menjalin hubungan, atau sekadar mencintai sesuatu ihwal cinta, inilah bacaan wajib bagi Anda.”
—Christine Darnell, New York",,https://tokoalvabet.com/582-large_default/the-single-woman.jpg,https://tokoalvabet.com/235-large_default/the-single-woman.jpg
Think A Book for To-Day,67000.0,William C. Hunter, Pengembangan Diri,8,388," I, Juni 2021",Juni,2021,13.0,20.0,288,, 978-623-7162-85-8,"Setiap dari kita mempunyai energi melimpah, yang harus digunakan dengan seimbang. Letak ketidakbahagiaan adalah saat kita menggunakan energi tersebut secara berlebihan. Ketika putus asa, pikiran akan kacau dan energi dalam tubuh kita akan terpakai secara tak terkontrol. Karena itu, sangatlah penting untuk tetap menjaga pikiran—tetap optimis dan rasional—selama masa-masa sulit. 
THINK adalah sebuah buku yang dapat menemani Anda yang sedang menghadapi masalah hari ini. Buku self-help klasik ini bisa menjadi teman terbaik yang akan memompa gairah Anda dalam menghadapi semangat yang goyah atau putus asa. Buku bestseller yang dicetak ulang berkali-kali pada awal terbitnya ini akan memandu Anda untuk selalu berpikir sehat, ceria, optimis, jernih, dan rasional. Melalui buku ini, penulis memberikan nasihat-nasihat emas agar Anda dapat selalu memperbaiki pikiran dan menemukan pegangan pada diri sendiri dalam menghadapi situasi sulit setiap saat. 
***
“Buku ini penuh dengan saran penting yang akan mengubah hidup Anda. Pesan-pesannya sederhana tetapi dampaknya sangat besar.”
—Amazon.com

“Buku ini sangat bagus dan memiliki banyak langkah praktis untuk kehidupan yang lebih baik.”
—Goodreads.com","William C. Hunter adalah seorang penulis berkebangsaan Amerika Serikat. Buku pertamanya berjudul PEP: Poise, Efficiency, Peace, yang pada awalnya ia ragu untuk menerbitkannya. Tetapi, setelah mendapat tangapan positif dari pemimpin sebuah penerbit, ia pun memberanikan diri untuk menerbitkannya. Kepercayaan diri itu pun bertambah setelah buku tersebut mendapatkan sambutan antusias dari pembaca. 
Ia menerima ribuan surat dari para pembaca yang tadinya berada di negeri bayangan, lelah, putus asa dan sengsara, dan sekarang mereka memiliki keberanian, kekuatan, ambisi, harapan, ketenangan, efisiensi, dan kedamaian dengan membaca dan mengikuti saransaran dari PEP.
Bermodal kepercayaan diri tersebut, dan keinginan untuk terus memotivasi diri dan orang lain, ia pun aktif menulis sehingga terbitlah karya-karyanya, antara lain: Evening Round-Up: More Good Stuff Like PEP; Dollars and Sense; Brass Tacks: Market Discipline Across Countries and Industries; Ginger Snaps; Character; Friends; dan buku terakhirnya, Think A Book for To-day (yang diterbitkan oleh Penerbit Gemilang dengan judul Think: Sebuah Buku untuk Menemani Anda Hari Ini).",https://tokoalvabet.com/673-large_default/think.jpg,https://tokoalvabet.com/672-large_default/think.jpg
Tiongkok yang Kami Lihat,120000.0,PPI (Perhimpunan Pelajar Indonesia) Tiongkok, Sosial,50,516," I, Oktober 2021",Oktober,2021,15.0,23.0,416,, 978-623-220-114-9,"Dewasa ini, Tiongkok merupakan negara adidaya terbesar kedua di dunia setelah Amerika Serikat. Perkembangan ekonomi Tiongkok yang demikian pesat, dikombinasikan dengan kemajuan teknologi yang terintegrasi dengan kehidupan sehari-hari melalui segudang platform di bidang e-commerce, transportasi, dan lain-lain, membuat Tiongkok menjadi negara yang disegani dunia, khususnya di Asia. 
Buku ini merupakan upaya berharga dari para pelajar Indonesia di Tiongkok yang tergabung dalam wadah Perhimpunan Pelajar Indonesia (PPI). Di sana, mereka menggali beragam potensi dan informasi perihal Tiongkok, mempelajari faktor kunci yang membuat Tiongkok tampil sebagai negara hebat seperti sekarang, serta mengambil ilmu, hikmah, dan pembelajaran dari negeri tersebut untuk dibawa pulang dan digunakan untuk memajukan tanah air Indonesia.
Wujud nyata dari ikhtiar penting mereka terekam dalam buku yang ditulis berdasarkan pengalaman selama menuntut ilmu di Tiongkok beberapa tahun terakhir. Informasi yang terangkum dalam buku ini sangat bervariasi, mengacu pada temuan dan pelajaran berdasarkan perspektif keilmuan masing-masing, baik di bidang bisnis, ekonomi, kesehatan, sosial-politik, dan lain sebagainya. Alhasil, buku ini sangat penting dibaca oleh masyarakat Indonesia, khususnya mereka yang tertarik untuk mempelajari lebih lanjut tentang kemajuan Tiongkok.",,https://tokoalvabet.com/690-large_default/tiongkok-yang-kami-lihat.jpg,https://tokoalvabet.com/689-large_default/tiongkok-yang-kami-lihat.jpg
Tyrant,85000.0,Christian Cameron, Novel,30,652," I, Maret 2014",Maret,2014,15.0,23.0,552,, 978-623-220-114-9,,,https://tokoalvabet.com/583-large_default/tyrant.jpg,https://tokoalvabet.com/237-large_default/tyrant.jpg
Wanita Simpanan,99900.0,Elizabeth Abbott, Sejarah,30,730," I, Januari 2013",Januari,2013,15.0,23.0,630,, 978-623-220-114-9,"Dia biasa disebut “wanita simpanan”, “wanita istimewa”, atau “wanita idaman lain”. Eksistensinya sangat dominan baik sebagai karakter fiksi maupun dalam dunia nyata. Tetapi siapa dia sebenarnya? Mengapa seorang wanita bersedia menjadi gundik, selir, atau wanita simpanan, dan apakah dia memiliki kehidupan pribadi—sebuah kehidupan rahasia? Apakah wanita simpanan hanyalah istri tunggu yang menanti giliran, ataukah dia mempunyai emansipasi dan kemerdekaan sebagai wanita independen?
Dalam buku ini, Elizabeth Abbott dengan cerdas menelusuri berbagai motif dan moral wanita-wanita yang sangat terkenal dan memesona dalam sejarah, dari masa lampau sampai masa kini. Menggambarkan potret mendalam mereka dengan peran yang demikian kompleks, dari selir kaisar China di Timur hingga gundik raja Eropa di Barat, dari Siti Sarah di zaman kuno hingga Marilyn Monroe di masa modern, buku ini menyajikan paduan yang kaya antara biografi pribadi, wawasan budaya, dan pengetahuan sejarah yang menakjubkan.
* * *
“Seperti gosip selebriti, buku ini memiliki daya tarik luar biasa... Tetapi buku ini tak hanya menampilkan sensasi orang kaya dan terkenal. Bacaan yang penuh rincian menarik dan wawasan mencerahkan.”
—Kirkus Reviews
“Tanpa disadari, pembaca akan terperosok ke dalam mitos dan fantasi ihwal wanita simpanan. Inilah salah satu kejutan dalam buku yang mengasyikkan ini.”
—Sunday Telegraph
“Penjelajahan penulis ihwal tema cinta yang sensasional menghasilkan sari cerita dan tulisan cerdas tentang perempuan-perempuan paling terpinggirkan dalam sejarah.”
—Ms. Magazine
“Ceritanya amat menyenangkan, juga luar biasa kaya akan detail. Tokoh-tokohnya tampak bodoh, serakah, ambisius, dan kejam. ... Buku ini memiliki semuanya.”
—McGill News
 
TENTANG","Elizabeth Abbott adalah seorang penulis dan sejarawan dengan minat khusus dalam isu-isu perempuan, keadilan sosial, dan lingkungan. Dia meraih gelar doktor dari McGill University, Kanada, dalam bidang sejarah abad ke-19. Sebelum pindah ke Toronto, ia tinggal di Montreal dan Port-au-Prince.
Mantan editor-in-chief surat kabar bulanan The Urban Pet ini telah menelorkan banyak buku, antara lain trilogi A History of Marriage, A History of Celibacy, dan A History of Mistresses (Wanita Simpanan). Selain menulis buku, dia juga menulis banyak artikel yang dipublikasikan di berbagai media massa seperti Globe and Mail, Toronto Star, Ottawa Citizen, The Gazette, Huffington Post, dan London Free Press.
Elizabeth merupakan peneliti senior di Trinity College, University of Toronto. Selama 10 tahun, dia menjabat Wakil Presiden Riverdale Historical Society dan menjabat Direktur St. Patrick’s Benevolent Society. Dia juga pernah menjadi relawan selama beberapa tahun di Dewan Editorial Yayasan Hak Asasi Manusia Kanada dan Komite Kebebasan dan Hak bagi Persatuan Penulis Kanada.
Beberapa penghargaan bidang sosial telah dia terima, antara lain Mount Sinai Hospital Volunteer Service Award, City of Toronto Community Service Volunteer Award, dan Ontario Government Volunteer Service Award. Riverdale Historical Society, yang dia dirikan pada 1991, memenangi Toronto Community Heritage Award pada 2007.",https://tokoalvabet.com/584-large_default/wanita-simpanan.jpg,https://tokoalvabet.com/238-large_default/wanita-simpanan.jpg
Warna Surga,60000.0,M.F. Hazim, Mewarnai,30,164," I, Februari 2016",Februari,2016,25.0,25.0,64,, 978-623-220-114-9,"ewarnai untuk orang dewasa:
1. Mendapatkan inspirasi
2. Menyalurkan ekspresi, emosi, serta kreativitas diri
3. Meredakan stres atau membantu menenangkan pikiran
4. Warna merupakan media terapi
5. Mengembangkan kemampuan motorik
6. Meningkatkan konsentrasi

Psikologi Warna
Menurut para ahli fisiologi dan psikologi, yang dimaksud dengan Psikologi Warna adalah seperti arti, sifat, dan pengaruh yang ada dalam suatu warna bagi orang yang menggunakan warna tersebut dan juga lingkungan sekitar.
1. Psikologi Warna Biru: Secara umum warna biru melambangkan kedamaian, ketenangan, kepercayaan, kenyamanan, kooperatif, cerdas, teguh, serta keteraturan. Secara psikologis, secara khusus warna biru merupakan warna yang membawa ketenangan. Biru melambangkan sesuatu yang sabar atau tidak mudah tersinggung, ramah, berpendirian. Warna biru dapat memberi pengaruh untuk mengatasi insomnia, kecemasan, tekanan darah tinggi, dan migrain.
2. Psikologi Warna Merah: Secara umum warna merah melambangkan cinta, kekuatan, dan semangat, hasrat yang menggebu dan keinginan besar untuk selalu maju. Menurut ilmu psikologi, warna merah mampu untuk merangsang munculnya semangat dan memberi energi pada tubuh, bahkan juga mampu untuk meningkatkan tekanan darah dan detak jantung.
3. Psikologi Warna Merah Muda: Secara umum warna merah muda melambangkan sifat kewanitaan, menyenangkan, menggoda, kelembutan, romantis dan kecantikan. Dalam psikologi, warna merah muda memberikan pengaruh pada seseorang untuk menjadi kurang bersemangat dan membuat energi melemah, namun dua pengaruh tersebut sifatnya bukan negatif melainkan memberikan perasaan peduli, kebersamaan, kelembutan, dan membawa perasaan pada nuansa keindahan yang dapat menetralkan gangguan dan kekerasan.
4. Psikologi Warna Hijau: Secara umum warna hijau melambangkan kesuburan, alami, ketabahan, keinginan, kekuasaan, dan kekerasan hati. Secara psikologi warna hijau mampu menstimulasi diri untuk meningkatkan rasa bangga dan perasaan yang lebih superior dari orang lain. Warna ini memberikan pengaruh santai dan mampu membantu menyeimbangkan emosi.
5. Psikologi Warna Kuning: Secara umum warna kuning melambangkan rasa optimis, semangat dan ceria, harapan, filosofi yang mendalam, dermawan, dan terbuka. Tetapi selain deretan sifat positif tersebut, warna kuning juga melambangkan banyak sifat negatif, di antaranya investigatif, pengecut, dan penghianat. Warna kuning dapat menstimulasi sisi logis manusia dari otak (pikiran) dan kejernihan mental. Warna kuning mampu mendorong munculnya kebijaksanaan dan mengeluarkan kemampuan akademik dari dalam diri yang akan mengilhami pemikiran orisinal dan ide-ide kreatif.
6. Psikologi Warna Coklat: Secara umum warna coklat melambangkan kesederhanaan, keselamatan, keamanan, dan praktis. Dalam ilmu psikologi, warna coklat memberikan kesan hangat dan nyaman. Tetapi warna coklat juga menunjukkan banyak sifat negatif, berupa suka merebut, tidak suka memberi hati, kurang toleransi, dan pesimis. 
7. Psikologi Warna Hitam: Secara umum warna hitam melambangkan kehampaan, kematian, kegelapan, kebinasaan, kerusakan, kesedihan, dan kepunahan. Tetapi warna hitam juga merupakan warna yang sangat mewakili sifat keanggunan dan elegan. Secara psikologi, warna hitam bisa memberi kesan dalam dua sekaligus, meskipun saling berlainan, seperti kosong, hampa, tetapi juga berkesan elegan. Warna hitam juga dapat merepresentasikan kepercayaan, menciptakan suasana misteri dan kerahasiaan.
8. Psikologi Warna Putih: Secara umum warna putih melambangkan kesucian, kebersihan, keadilan, netralitas, independensi, dan kematian. Dalam psikologi, warna putih dapat menimbulkan rasa tenang karena sifatnya yang terkesan sederhana, bebas dan terbuka. Warna putih sangat bagus untuk penyembuhan, karena dapat menjernihkan mental, membersihkan pikiran dan tindakan.",,https://tokoalvabet.com/585-large_default/warna-surga.jpg,https://tokoalvabet.com/239-large_default/warna-surga.jpg
Work,110000.0,James Suzman, Sejarah ,50,516," I, Juni 2022",Juni,2022,15.0,23.0,416,, 978-623-220-131-6,"Pekerjaan memberi kita makna, membentuk nilai-nilai, menentukan status sosial, dan menentukan bagaimana kita menghabiskan sebagian besar waktu. Tetapi, tidak hanya sebatas itu: 95 persen dari sejarah umat manusia, pekerjaan telah memainkan peran yang jauh lebih penting dari semestinya, dan telah mempengaruhi manusia secara radikal.
Lalu, bagaimana kerja menjadi prinsip organisasional utama dalam masyarakat? Bagaimana ia mengubah tubuh, lingkungan, pandangan kita tentang kesetaraan dan pengalaman kita ihwal waktu? Dan di masa kelimpahan materi, mengapa kita justru bekerja lebih banyak daripada masa sebelumnya? Apakah kita terprogram untuk selalu bekerja keras? Serta, apakah nenek moyang kita juga hidup untuk bekerja dan bekerja untuk hidup?
Buku ini memberikan gambaran mendalam perihal sejarah baru umat manusia yang revolusioner melalui prisma kerja, dari asal usul kehidupan di Bumi hingga masa kini yang semakin otomatis. Diramu dengan wawasan antropologi, arkeologi, biologi evolusioner, zoologi, fisika, dan ekonomi, buku ini kaya dengan sudut pandang dalam memaknai sesuatu yang paling banyak menghabiskan waktu dalam kehidupan umat manusia sepanjang sejarah.
***
“Eksplorasi menarik, menantang asumsi dasar kita tentang apa arti pekerjaan.”
—Yuval Noah Harari, penulis buku bestseller Sapiens dan Homo Deus
 “Salah satu buku yang akan mengubah cara berpikir Anda.”
—Susan Cain, penulis buku bestseller Quiet
“James Suzman ... mengungkapkan bahwa nenek moyang kita, para pemburu-pengumpul, bekerja jauh lebih sedikit daripada kita, tetapi menjalani kehidupan jauh lebih bahagia dan berkecukupan.”
—Adam Grant, penulis buku bestseller Give and Take","James Suzman adalah seorang antropolog sosial yang mengkhususkan diri dalam masyarakat Khoisan di Afrika Selatan. Ia lahir di Johannesburg, Afrika Selatan, dan dididik di Michaelhouse. Ia lulus dengan gelar MA (Hons) dalam bidang antropologi sosial dari University of St Andrews pada 1993. Ia memperoleh gelar PhD dalam bidang antropologi sosial dari University of Edinburgh pada 1996. Dan menerima Smuts Commonwealth Fellowship dalam African Studies di Cambridge University
Dia sekarang menjabat sebagai direktur Anthropos Ltd, sebuah think tank yang menerapkan metode antropologis untuk memecahkan masalah sosial dan ekonomi kontemporer. Tulisan-tulisannya banyak dimuat di New York Times, Observer, Guardian, New Statesman dan Independent. Dan bukunya yang sudah terbit Affluence without Abundance: The disappearing world of the Bushmen dan Work: A Deep History, from the Stone Age to the Age of Robots.
Dia tinggal di Cambridge.",https://tokoalvabet.com/742-large_default/work-sejarah-mendalam-bagaimana-umat-manusia-menghabiskan-waktu.jpg,https://tokoalvabet.com/743-large_default/work-sejarah-mendalam-bagaimana-umat-manusia-menghabiskan-waktu.jpg
World Fairy Tales,49000.0,Hartwell James, Fiksi,49,276," I, Mei 2021",Mei,2021,13.0,20.0,176,, 978-623-220-109-5,"Dongeng atau cerita rakyat merupakan kisah-kisah atau fabel-fabel yang diceritakan turun-temurun, dari generasi ke generasi lainnya. Isi ceritanya tidak hanya menawan, tetapi biasanya juga diselingi dengan petuah-petuah moral dan etika untuk dipetik pelajarannya.
Di dunia ini tersebar banyak cerita rakyat, tiap-tiap negeri mempunyai beragam dongeng khas masing-masing, yang juga menggambarkan kebudayaan negeri setempat. Cerita-cerita tersebut patut dijaga dan terus-menerus didongengkan untuk melestarikan kebudayaan dunia dan nilai-nilai positifnya.
Buku ini menyuguhkan kepada Anda dongeng-dongeng dari Persia dan India, dua negeri yang sangat kaya akan kisah dan fabel. Cerita rakyat yang dihadirkan di sini merupakan cerita-cerita populer di negeri tersebut yang membangkitkan ketakjuban, tawa dan tangis, serta menyenangkan dunia pembaca, baik orang tua maupun muda.
***
“Kumpulan cerita yang sangat enak dinikmati. Penuh imajinasi dan pesona yang pasti akan menyenangkan.”
—Amazon.com
“Bacaan yang cukup singkat, tapi setimpal untuk siapa saja yang menyukai dongeng dari seluruh dunia.”
—Goodreads.com","Hartwell James, tidak banyak yang diketahui tentang penulis ini, selain dia adalah seorang kolektor cerita dan dongeng dari berbagai daerah. Ia menerbitkan sejumlah buku dari daerah-daerah yang menurutnya kaya akan cerita rakyat. 
Dia mungkin hidup pada tahun 1800 hingga 1900-an, dengan sebagian besar bukunya diterbitkan pada tahun 1906. Judulnya termasuk The Magic Bed: A Book of East Indian Tales, The Cat and the Mouse: A Book of Persian Tales, The Jeweled Sea: A Book of Chinese Tales, The Magic Jaw Bone: A Book of South Sea Islands Tales, The Man Elephant: A Book of African Tales, dan The Enchanted Castle: A Book of Tales dari Flower Land. Dengan melihat karyanya, dapat dilihat bahwa James adalah seorang penjelajah yang bersemangat yang melihat pentingnya berbagi cerita rakyat di daerah yang dia kunjungi.",https://tokoalvabet.com/671-large_default/world-fairy-tales.jpg,https://tokoalvabet.com/670-large_default/world-fairy-tales.jpg
